name,week_commencing,score
Abby,2024-10-07,1
Beth,2024-10-07,3
Collin,2024-10-07,5
Dave,2024-10-07,1
Evan,2024-10-07,1
Frank,2024-10-07,4
Greg,2024-10-07,3
Hope,2024-10-07,5
Izzy,2024-10-07,5
John,2024-10-07,2
Kyle,2024-10-07,5
Laura,2024-10-07,4
Molly,2024-10-07,1
Nick,2024-10-07,4
Oscar,2024-10-07,3
Poppy,2024-10-07,5
Quinn,2024-10-07,5
Rob,2024-10-07,4
Abby,2024-10-14,2
Beth,2024-10-14,3
Collin,2024-10-14,5
Dave,2024-10-14,3
Evan,2024-10-14,1
Frank,2024-10-14,5
Greg,2024-10-14,2
Hope,2024-10-14,4
Izzy,2024-10-14,5
John,2024-10-14,3
Kyle,2024-10-14,4
Laura,2024-10-14,3
Molly,2024-10-14,2
Nick,2024-10-14,4
Oscar,2024-10-14,3
Poppy,2024-10-14,5
Quinn,2024-10-14,5
Rob,2024-10-14,4
Abby,2024-10-21,3
Beth,2024-10-21,3
Collin,2024-10-21,5
Dave,2024-10-21,2
Evan,2024-10-21,1
Frank,2024-10-21,4
Greg,2024-10-21,3
Hope,2024-10-21,3
Izzy,2024-10-21,5
John,2024-10-21,3
Kyle,2024-10-21,5
Laura,2024-10-21,5
Molly,2024-10-21,3
Nick,2024-10-21,4
Oscar,2024-10-21,2
Poppy,2024-10-21,5
Quinn,2024-10-21,4
Rob,2024-10-21,5
Abby,2024-10-28,2
Beth,2024-10-28,3
Collin,2024-10-28,5
Dave,2024-10-28,2
Evan,2024-10-28,1
Frank,2024-10-28,4
Greg,2024-10-28,3
Hope,2024-10-28,4
Izzy,2024-10-28,5
John,2024-10-28,4
Kyle,2024-10-28,4
Laura,2024-10-28,5
Molly,2024-10-28,4
Nick,2024-10-28,4
Oscar,2024-10-28,3
Poppy,2024-10-28,5
Quinn,2024-10-28,5
Rob,2024-10-28,4
